observable,tick,w1,threshold,excess
enzymes,34,1.6600000000000001,0.8590999999999998,0.8009000000000004
enzymes,35,1.6,0.7270999999999996,0.8729000000000005
enzymes,36,1.7000000000000002,0.6830999999999998,1.0169000000000004
enzymes,37,1.8000000000000003,0.7479999999999999,1.0520000000000005
enzymes,38,1.74,0.7490999999999998,0.9909000000000002
enzymes,39,1.8800000000000001,0.9019999999999998,0.9780000000000003
enzymes,40,1.7000000000000002,0.4620000000000001,1.238
enzymes,41,1.7800000000000002,0.7040000000000001,1.076
enzymes,42,1.7599999999999998,0.6390999999999998,1.1209
enzymes,43,1.6600000000000001,0.7930999999999997,0.8669000000000004
enzymes,44,1.66,0.8810999999999996,0.7789000000000004
enzymes,45,1.4000000000000001,0.5940000000000001,0.806
enzymes,46,1.5599999999999998,0.6160000000000001,0.9439999999999997
enzymes,47,1.2,0.5070999999999996,0.6929000000000004
enzymes,48,1.52,0.8580000000000003,0.6619999999999997
enzymes,49,1.6800000000000002,1.0119999999999996,0.6680000000000006
enzymes,50,1.34,0.6390999999999998,0.7009000000000003
enzymes,51,1.6400000000000001,0.9250999999999998,0.7149000000000003
enzymes,52,1.6400000000000001,0.8150999999999995,0.8249000000000006
enzymes,53,1.5600000000000003,0.726,0.8340000000000003
enzymes,54,1.7600000000000002,0.8591000000000002,0.9009
enzymes,55,1.9200000000000004,0.9240000000000002,0.9960000000000002
enzymes,56,1.7000000000000002,0.5961999999999996,1.1038000000000006
enzymes,57,1.6400000000000001,0.6390999999999999,1.0009000000000001
enzymes,58,1.46,0.5730999999999998,0.8869000000000001
enzymes,59,1.7000000000000002,0.8370999999999998,0.8629000000000003
enzymes,60,1.86,0.9470999999999998,0.9129000000000003
enzymes,61,1.48,0.6610999999999998,0.8189000000000002
enzymes,62,1.36,0.5720000000000001,0.788
enzymes,63,1.62,0.9020000000000001,0.718
enzymes,64,1.7000000000000002,0.7260000000000001,0.9740000000000001
enzymes,65,1.84,0.8150999999999996,1.0249000000000006
enzymes,66,1.6800000000000004,0.9899999999999999,0.6900000000000005
enzymes,67,1.7400000000000002,0.8370999999999998,0.9029000000000004
enzymes,68,1.62,0.7919999999999998,0.8280000000000003
enzymes,69,1.5599999999999998,0.704,0.8559999999999999
enzymes,70,1.76,0.8150999999999998,0.9449000000000002
enzymes,71,1.52,0.792,0.728
enzymes,72,1.4600000000000002,0.748,0.7120000000000002
enzymes,73,1.5,0.7490999999999997,0.7509000000000003
enzymes,74,1.4800000000000002,0.6160000000000001,0.8640000000000001
enzymes,75,1.6,0.9481999999999995,0.6518000000000006
enzymes,76,1.2600000000000002,0.572,0.6880000000000003
enzymes,77,1.54,0.8161999999999994,0.7238000000000007
enzymes,78,1.6200000000000003,0.7260000000000001,0.8940000000000002
enzymes,79,1.4800000000000002,0.7490999999999997,0.7309000000000005
enzymes,80,1.6,0.66,0.9400000000000001
enzymes,81,1.56,0.7281999999999994,0.8318000000000006
enzymes,82,1.68,0.6380000000000001,1.0419999999999998
enzymes,83,1.56,0.8139999999999998,0.7460000000000002
enzymes,84,1.2400000000000002,0.6820000000000002,0.558
enzymes,85,1.2400000000000002,0.5279999999999999,0.7120000000000003
enzymes,86,1.36,0.5730999999999998,0.7869000000000003
enzymes,87,1.6,0.7270999999999996,0.8729000000000005
enzymes,88,1.7,0.9041999999999996,0.7958000000000004
enzymes,89,1.82,0.7930999999999997,1.0269000000000004
enzymes,90,1.5,0.572,0.928
enzymes,91,1.68,0.7699999999999998,0.9100000000000001
enzymes,92,1.6,0.7051,0.8949000000000001
enzymes,93,1.6600000000000001,0.902,0.7580000000000001
enzymes,94,1.4000000000000001,0.7490999999999998,0.6509000000000004
enzymes,95,1.34,0.6160000000000001,0.724
enzymes,96,1.2800000000000002,0.6379999999999999,0.6420000000000003
enzymes,97,1.3,0.704,0.5960000000000001
enzymes,98,1.4000000000000001,0.6160000000000001,0.784
enzymes,99,1.56,0.8810999999999998,0.6789000000000003
boundEnzymes,3,1.14,0.33000000000000007,0.8099999999999998
boundEnzymes,4,1.42,0.30800000000000005,1.1119999999999999
boundEnzymes,5,0.66,0.3750999999999997,0.2849000000000003
boundEnzymes,6,0.46,0.30800000000000005,0.15199999999999997
boundEnzymes,8,0.8,0.462,0.338
boundEnzymes,9,0.66,0.4620000000000001,0.19799999999999995
boundEnzymes,10,0.74,0.4201999999999994,0.3198000000000006
boundEnzymes,11,0.52,0.374,0.14600000000000002
boundEnzymes,12,0.52,0.35200000000000004,0.16799999999999998
boundEnzymes,13,0.66,0.5940000000000001,0.06599999999999995
boundEnzymes,14,0.4,0.374,0.026000000000000023
boundEnzymes,15,0.56,0.506,0.05400000000000005
boundEnzymes,16,0.8400000000000001,0.7490999999999997,0.09090000000000042
boundEnzymes,17,0.56,0.48400000000000004,0.07600000000000001
boundEnzymes,18,0.9,0.5940000000000001,0.30599999999999994
boundEnzymes,19,0.7200000000000001,0.33000000000000007,0.39
boundEnzymes,20,0.8799999999999999,0.48509999999999964,0.39490000000000025
boundEnzymes,21,1.1400000000000001,0.6380000000000001,0.502
boundEnzymes,22,1.04,0.5940000000000001,0.44599999999999995
boundEnzymes,23,1.02,0.55,0.47
boundEnzymes,24,1.0599999999999998,0.5730999999999997,0.4869000000000001
boundEnzymes,25,1.1,0.7501999999999994,0.34980000000000067
boundEnzymes,26,1.12,0.682,0.43800000000000006
boundEnzymes,27,1.08,0.6600000000000001,0.41999999999999993
boundEnzymes,28,1.02,0.5950999999999997,0.4249000000000003
boundEnzymes,29,0.9,0.3959999999999999,0.5040000000000001
boundEnzymes,30,1.26,0.5972999999999989,0.6627000000000011
boundEnzymes,31,1.52,0.8392999999999987,0.6807000000000013
boundEnzymes,32,1.4800000000000002,0.6401999999999994,0.8398000000000008
boundEnzymes,33,1.2999999999999998,0.5950999999999997,0.7049000000000001
boundEnzymes,34,1.72,0.7050999999999997,1.0149000000000004
boundEnzymes,35,1.3599999999999999,0.5280000000000001,0.8319999999999997
boundEnzymes,36,1.48,0.5510999999999998,0.9289000000000002
boundEnzymes,37,1.58,0.5720000000000001,1.008
boundEnzymes,38,1.62,0.48509999999999975,1.1349000000000005
boundEnzymes,39,1.54,0.6390999999999998,0.9009000000000003
boundEnzymes,40,1.58,0.396,1.1840000000000002
boundEnzymes,41,1.62,0.5730999999999998,1.0469000000000004
boundEnzymes,42,1.42,0.4620000000000001,0.9579999999999999
boundEnzymes,43,1.48,0.66,0.82
boundEnzymes,44,1.52,0.5961999999999995,0.9238000000000005
boundEnzymes,45,1.42,0.462,0.958
boundEnzymes,46,1.7000000000000002,0.6390999999999998,1.0609000000000004
boundEnzymes,47,1.3800000000000001,0.48509999999999964,0.8949000000000005
boundEnzymes,48,1.5599999999999998,0.7050999999999998,0.8549
boundEnzymes,49,1.7400000000000002,0.77,0.9700000000000002
boundEnzymes,50,1.48,0.5070999999999998,0.9729000000000002
