tick,k_vs_oc_w1,current_threshold,bootstrap_repl_threshold,split_half_threshold,ratio_oc_over_sh
23,6984.860000000001,1222.2418999999995,3432.9779,5160.363999999998,1.3535595551011526
24,7183.299999999999,1165.5303000000001,3793.780099999996,5605.331599999998,1.2815120518472096
25,7453.4,1160.9685999999997,3916.9603,5696.178399999998,1.3084913211285663
26,7581.960000000001,1274.9791999999993,4597.285000000001,5304.789599999997,1.4292668647970515
27,7817.540000000001,1213.7333999999998,3934.6207999999992,5657.6124,1.3817736966215644
28,8088.2,1196.0333,4397.0399,5808.963600000001,1.3923654126529557
29,8275.4,1197.2422,4126.0197,5612.683999999996,1.4744104603074049
30,8507.640000000001,1388.0151999999998,4365.460000000001,5829.075999999998,1.4595177691970398
31,8721.54,1472.8175,4119.6023,5940.061599999993,1.4682575008986458
32,8892.7,1326.8926,4692.592299999998,6551.771599999997,1.35729700955998
33,9073.44,1213.9995999999999,4521.178199999996,6849.7792,1.324632478664422
34,9311.5,1185.7395000000001,4480.373699999998,6146.764799999997,1.5148619319223022
35,9467.6,1315.9234,4228.5848,5837.880399999997,1.6217529910342126
36,9733.52,1222.7808999999997,4254.377599999997,6511.383999999997,1.4948465641098736
37,9849.3,1349.2116,4621.157199999999,6093.406000000001,1.616386631713035
38,10064.740000000002,1424.8189999999997,4326.216399999998,6120.267999999997,1.6444933457162343
39,10283.920000000002,1319.5094,4056.8231000000005,5930.755599999999,1.7339982783981192
40,10396.86,1297.7535999999998,4585.500699999999,6542.188399999997,1.589202169720457
41,10559.26,1257.7586999999999,5313.017600000001,6596.308399999999,1.6007832502191683
42,10795.740000000002,1343.4234,4537.825600000001,6065.712400000001,1.7797975387029559
43,10915.16,1307.5292999999997,4682.717599999999,6551.921199999994,1.665947997054667
44,11154.1,1520.6982999999998,4911.714499999999,6963.5235999999995,1.601789645690294
45,11346.240000000002,1480.2402999999983,4879.708899999994,7256.726399999999,1.5635479932108236
46,11515.36,1414.2556999999995,4675.9250999999995,7031.31,1.6377261136260526
47,11768.2,1517.2090999999994,5143.206199999998,7468.040799999996,1.5758082092963401
48,12052.740000000002,1666.4537999999998,4369.4904,6423.537999999999,1.87633979903287
49,12260.300000000001,1518.0858000000003,4922.769499999999,6804.397599999998,1.8018200464946381
50,12385.060000000001,1665.4714999999997,5153.9994,6677.818399999998,1.8546566046180597
51,12622.679999999998,1484.3047999999992,5624.0172999999995,6854.231999999998,1.8415892546385944
52,12848.319999999998,1535.5988999999997,4868.873899999998,6711.6368,1.914334816210555
53,13094.58,1480.2050999999994,5431.880299999999,7344.867200000001,1.7828205253323026
54,13375.76,1612.6373999999998,5993.754799999999,7920.545599999999,1.6887422502813445
