observable,tick,w1,threshold,excess
enzymes,24,24.72,4.336199999999999,20.3838
enzymes,25,26.5,2.159299999999999,24.340700000000002
enzymes,26,26.3,2.9942,23.3058
enzymes,27,26.82,2.887499999999999,23.9325
enzymes,28,27.759999999999998,3.371499999999999,24.3885
enzymes,29,28.08,2.5783999999999985,25.5016
enzymes,30,27.68,2.976599999999998,24.703400000000002
enzymes,31,28.32,2.906199999999999,25.413800000000002
enzymes,32,28.46,2.8380000000000005,25.622
enzymes,33,27.12,2.4431,24.6769
enzymes,34,27.06,3.3307999999999964,23.729200000000002
enzymes,35,26.02,3.325299999999999,22.6947
enzymes,36,25.34,3.086599999999998,22.253400000000003
enzymes,37,25.6,3.3043999999999993,22.2956
enzymes,38,25.84,3.6167999999999965,22.223200000000002
enzymes,39,25.919999999999998,2.7532999999999985,23.1667
enzymes,40,24.5,3.6321999999999997,20.8678
enzymes,41,24.9,2.4034999999999984,22.4965
enzymes,42,25.22,3.2141999999999995,22.0058
enzymes,43,25.160000000000004,4.0491,21.110900000000004
enzymes,44,25.119999999999997,3.2152999999999987,21.9047
enzymes,45,24.68,3.4551,21.224899999999998
enzymes,46,26.6,2.9501999999999993,23.649800000000003
enzymes,47,25.759999999999998,3.0425999999999984,22.717399999999998
enzymes,48,25.14,3.442999999999996,21.697000000000003
enzymes,49,24.999999999999996,3.3440000000000003,21.655999999999995
enzymes,50,24.6,3.3891000000000004,21.210900000000002
enzymes,51,24.999999999999996,2.3330999999999995,22.6669
enzymes,52,25.119999999999997,3.0150999999999994,22.104899999999997
enzymes,53,25.160000000000004,2.8610999999999995,22.298900000000003
enzymes,54,24.16,3.1536999999999966,21.006300000000003
enzymes,55,24.42,3.3219999999999987,21.098000000000003
enzymes,56,23.94,2.9710999999999994,20.9689
enzymes,57,23.119999999999997,2.535499999999999,20.5845
enzymes,58,23.6,2.816,20.784000000000002
enzymes,59,23.339999999999996,3.4551000000000003,19.884899999999995
enzymes,60,23.46,3.765299999999998,19.694700000000005
enzymes,61,22.74,3.564000000000001,19.176
enzymes,62,22.96,3.7927999999999975,19.167200000000005
enzymes,63,22.7,3.2779999999999996,19.422
enzymes,64,23.44,3.148199999999999,20.291800000000002
enzymes,65,26.52,2.4210999999999996,24.0989
enzymes,66,25.480000000000004,3.6531,21.826900000000006
enzymes,67,23.04,2.9864999999999946,20.053500000000003
enzymes,68,24.159999999999997,3.150399999999999,21.0096
enzymes,69,25.02,4.646399999999999,20.3736
enzymes,70,26.0,4.076599999999998,21.9234
enzymes,71,25.059999999999995,2.840199999999999,22.219799999999996
enzymes,72,23.199999999999996,3.409999999999999,19.789999999999996
enzymes,73,21.800000000000004,2.75,19.050000000000004
