tick,e1_monomer_count_direct_state_read,complex1_delta_MG_041_062_429_PENTAMER,complex2_delta_MG_041_069_429_PENTAMER,any_complex_delta_total,any_complex_changed,pinched
1276,0,0,0,-1,1,0
1288,0,0,0,1,1,0
1289,0,0,0,-1,1,0
1300,0,0,0,0,0,0
1318,0,0,0,1,1,0
1319,0,0,0,-1,1,0
1323,0,0,0,2,1,0
1324,0,0,0,-2,1,0
1325,0,0,0,0,0,0
1331,0,0,0,2,1,0
1332,0,0,0,-2,1,0
1350,0,0,0,1,1,0
1351,0,0,0,-1,1,0
1364,0,0,0,1,1,0
1365,0,0,0,-1,1,0
1367,0,0,0,1,1,0
1368,0,0,0,-1,1,0
1372,0,0,0,1,1,0
1373,0,0,0,-1,1,0
1375,0,0,0,1,1,0
1376,0,0,0,-1,1,0
1387,0,0,0,1,1,0
1388,0,0,0,-1,1,0
1396,0,0,0,1,1,0
1397,0,0,0,-1,1,0
1399,0,0,0,1,1,0
1400,0,0,0,-1,1,0
1425,0,0,0,0,0,0
1427,0,0,0,1,1,0
1428,0,0,0,-1,1,0
1450,0,0,0,0,0,0
1455,0,0,0,1,1,0
1456,0,0,0,-1,1,0
1458,0,0,0,1,1,0
1459,0,0,0,-1,1,0
1472,0,0,0,1,1,0
1473,0,0,0,-1,1,0
1474,0,0,0,1,1,0
1475,0,0,0,-1,1,0
1486,0,0,0,1,1,0
1487,0,0,0,-1,1,0
1489,0,0,0,2,1,0
1490,0,0,0,-2,1,0
1492,0,0,0,1,1,0
1493,0,0,0,-1,1,0
1495,0,0,0,1,1,0
1496,0,0,0,-1,1,0
1500,0,0,0,0,0,0
1502,0,0,0,1,1,0
1503,0,0,0,-1,1,0
1508,0,0,0,1,1,0
1509,0,0,0,-1,1,0
1518,0,0,0,1,1,0
1519,0,0,0,-1,1,0
1525,0,0,0,0,0,0
1550,0,0,0,0,0,0
1565,0,0,0,1,1,0
1566,0,0,0,-1,1,0
1575,0,0,0,0,0,0
1577,0,0,0,1,1,0
1578,0,0,0,-1,1,0
1581,0,0,0,1,1,0
1582,0,0,0,-1,1,0
1585,0,0,0,1,1,0
1586,0,0,0,-1,1,0
1600,0,0,0,0,0,0
1616,0,0,0,2,1,0
1617,0,0,0,-2,1,0
1621,0,0,0,1,1,0
1622,0,0,0,-1,1,0
1625,0,0,0,0,0,0
1631,0,0,0,1,1,0
1632,0,0,0,-1,1,0
1650,0,0,0,0,0,0
1651,0,0,0,1,1,0
1652,0,0,0,-1,1,0
1660,0,0,0,1,1,0
1661,0,0,0,-1,1,0
1664,0,0,0,1,1,0
1665,0,0,0,-1,1,0
1675,0,0,0,0,0,0
1700,0,0,0,0,0,0
1705,0,0,0,2,1,0
1706,0,0,0,-2,1,0
1723,0,0,0,1,1,0
1724,0,0,0,-1,1,0
1725,0,0,0,0,0,0
1730,0,0,0,1,1,0
1731,0,0,0,-1,1,0
1750,0,0,0,0,0,0
1756,0,0,0,1,1,0
1757,0,0,0,-1,1,0
1766,0,0,0,1,1,0
1767,0,0,0,-1,1,0
1775,0,0,0,0,0,0
1784,0,0,0,1,1,0
1785,0,0,0,-1,1,0
1791,0,0,0,2,1,0
1792,0,0,0,-2,1,0
1800,0,0,0,0,0,0
1821,0,0,0,1,1,0
1822,0,0,0,-1,1,0
1825,0,0,0,0,0,0
1832,0,0,0,1,1,0
1833,0,0,0,-1,1,0
1843,0,0,0,1,1,0
1844,0,0,0,-1,1,0
1850,0,0,0,0,0,0
1873,0,0,0,1,1,0
1874,0,0,0,-1,1,0
1875,0,0,0,0,0,0
1897,0,0,0,1,1,0
1898,0,0,0,-1,1,0
1900,0,0,0,0,0,0
1902,0,0,0,2,1,0
1903,0,0,0,-2,1,0
1912,0,0,0,1,1,0
1913,0,0,0,-1,1,0
1925,0,0,0,0,0,0
1936,0,0,0,1,1,0
1937,0,0,0,-1,1,0
1944,0,0,0,1,1,0
1945,0,0,0,-1,1,0
1950,0,0,0,0,0,0
1962,0,0,0,1,1,0
1963,0,0,0,-1,1,0
1969,0,0,0,1,1,0
1970,0,0,0,-1,1,0
1975,0,0,0,0,0,0
1998,0,0,0,1,1,0
1999,0,0,0,-1,1,0
2000,0,0,0,0,0,0
2010,0,0,0,1,1,0
2011,0,0,0,-1,1,0
2020,0,0,0,1,1,0
2021,0,0,0,-1,1,0
2023,0,0,0,1,1,0
2024,0,0,0,-1,1,0
2025,0,0,0,0,0,0
2026,0,0,0,1,1,0
2027,0,0,0,-1,1,0
